ipc_section,ipc_title,bns_section,bns_title,relationship_type,notes,source,verified,last_updated
376DB,Gang rape on woman under twelve years of age,70,Gang rape,merged,Merged into BNS 70 with age-specific provisions,india_code+concordance_table,false,2025-01-01
377,Unnatural offences,,Repealed,repealed,Decriminalized per Supreme Court Navtej Singh Johar v Union of India (2018); not carried to BNS,india_code+concordance_table,false,2025-01-01
378,Theft,303,Theft,renumbered,,india_code+concordance_table,false,2025-01-01
379,Punishment for theft,303,Punishment for theft,renumbered,,india_code+concordance_table,false,2025-01-01
380,Theft in dwelling house,305,Theft in dwelling house etc,renumbered,,india_code+concordance_table,false,2025-01-01
383,Extortion,308,Extortion,renumbered,,india_code+concordance_table,false,2025-01-01
384,Punishment for extortion,308,Punishment for extortion,renumbered,,india_code+concordance_table,false,2025-01-01
390,Robbery,309,Robbery,renumbered,,india_code+concordance_table,false,2025-01-01
391,Dacoity,310,Dacoity,renumbered,,india_code+concordance_table,false,2025-01-01
392,Punishment for robbery,309,Punishment for robbery,renumbered,,india_code+concordance_table,false,2025-01-01
395,Punishment for dacoity,310,Punishment for dacoity,renumbered,,india_code+concordance_table,false,2025-01-01
397,Robbery or dacoity with attempt to cause death or grievous hurt,311,Robbery or dacoity with attempt to cause death or grievous hurt,renumbered,,india_code+concordance_table,false,2025-01-01
399,Making preparation to commit dacoity,312,Making preparation to commit dacoity,renumbered,,india_code+concordance_table,false,2025-01-01
405,Criminal breach of trust,316,Criminal breach of trust,renumbered,,india_code+concordance_table,false,2025-01-01
406,Punishment for criminal breach of trust,316,Punishment for criminal breach of trust,renumbered,,india_code+concordance_table,false,2025-01-01
409,Criminal breach of trust by public servant or banker merchant or agent,316,Criminal breach of trust by public servant etc,renumbered,,india_code+concordance_table,false,2025-01-01
415,Cheating,318,Cheating,renumbered,,india_code+concordance_table,false,2025-01-01
417,Punishment for cheating,318,Punishment for cheating,renumbered,,india_code+concordance_table,false,2025-01-01
420,Cheating and dishonestly inducing delivery of property,318,Cheating and dishonestly inducing delivery of property,renumbered,,india_code+concordance_table,false,2025-01-01
425,Mischief,324,Mischief,renumbered,,india_code+concordance_table,false,2025-01-01
426,Punishment for mischief,324,Punishment for mischief,renumbered,,india_code+concordance_table,false,2025-01-01
441,Criminal trespass,329,Criminal trespass,renumbered,,india_code+concordance_table,false,2025-01-01
442,House-trespass,329,House-trespass,renumbered,,india_code+concordance_table,false,2025-01-01
447,Punishment for criminal trespass,329,Punishment for criminal trespass,renumbered,,india_code+concordance_table,false,2025-01-01
448,Punishment for house-trespass,330,Punishment for house-trespass,renumbered,,india_code+concordance_table,false,2025-01-01
463,Forgery,335,Forgery,renumbered,,india_code+concordance_table,false,2025-01-01
465,Punishment for forgery,336,Punishment for forgery,renumbered,,india_code+concordance_table,false,2025-01-01
468,Forgery for purpose of cheating,338,Forgery for purpose of cheating,renumbered,,india_code+concordance_table,false,2025-01-01
471,Using as genuine a forged document or electronic record,340,Using as genuine a forged document or electronic record,renumbered,,india_code+concordance_table,false,2025-01-01
489A,Counterfeiting currency-notes or bank-notes,178,Counterfeiting currency-notes or bank-notes,renumbered,,india_code+concordance_table,false,2025-01-01
489B,Using as genuine forged or counterfeit currency-notes or bank-notes,179,Using as genuine forged or counterfeit currency-notes or bank-notes,renumbered,,india_code+concordance_table,false,2025-01-01
494,Marrying again during lifetime of husband or wife,82,Marrying again during lifetime of husband or wife,renumbered,,india_code+concordance_table,false,2025-01-01
497,Adultery,,Repealed,repealed,Struck down by Supreme Court in Joseph Shine v Union of India (2018); not carried to BNS,india_code+concordance_table,false,2025-01-01
498A,Husband or relative of husband of a woman subjecting her to cruelty,85,Husband or relative of husband of a woman subjecting her to cruelty,renumbered,,india_code+concordance_table,false,2025-01-01
499,Defamation,356,Defamation,renumbered,,india_code+concordance_table,false,2025-01-01
500,Punishment for defamation,356,Punishment for defamation,renumbered,,india_code+concordance_table,false,2025-01-01
503,Criminal intimidation,351,Criminal intimidation,renumbered,,india_code+concordance_table,false,2025-01-01
504,Intentional insult with intent to provoke breach of the peace,352,Intentional insult with intent to provoke breach of the peace,renumbered,,india_code+concordance_table,false,2025-01-01
506,Punishment for criminal intimidation,351,Punishment for criminal intimidation,renumbered,,india_code+concordance_table,false,2025-01-01
509,Word gesture or act intended to insult the modesty of a woman,79,Word gesture or act intended to insult the modesty of a woman,renumbered,,india_code+concordance_table,false,2025-01-01
511,Attempt to commit offences punishable with imprisonment for life or other imprisonment,62,Attempt to commit offences punishable with imprisonment for life or other imprisonment,renumbered,Last section of IPC,india_code+concordance_table,false,2025-01-01
,,69,Sexual intercourse by employing deceitful means etc,new_in_bns,New provision — criminalizes sexual intercourse by deceitful means including false promise of marriage,india_code+concordance_table,false,2025-01-01
,,111,Organised crime,new_in_bns,New provision — comprehensive organised crime framework,india_code+concordance_table,false,2025-01-01
,,112,Petty organised crime,new_in_bns,New provision — addresses petty/small organised crime,india_code+concordance_table,false,2025-01-01
,,113,Terrorist act,new_in_bns,New provision — defines and penalizes terrorist acts,india_code+concordance_table,false,2025-01-01
,,303(2),Snatching,new_in_bns,New sub-section specifically criminalizing snatching,india_code+concordance_table,false,2025-01-01
